drop,player_id,drop2,valid,event_id,year,tourns0411$tourn_id[[t]]
MM_openBrWindow('ScoreCard.asp?TN=T01,15582,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18784,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15241,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15399,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18712,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18890,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,14268,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,14655,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,17356,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18745,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19325,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,12277,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19249,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,12209,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18690,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19478,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,7452,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18857,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18560,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18603,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19420,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15727,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19183,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15002,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,16170,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,17564,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18666,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,9746,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19448,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19418,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15936,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18555,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18279,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19273,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18518,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,11059,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,15752,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19146,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,16828,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18853,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18859,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19531,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,8990,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18623,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18899,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19201,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,16695,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,17938,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19465,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,19311,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18667,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18836,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,16276,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,9998,"1','','width=790,height=200')",TRUE,T01,2004,NA
MM_openBrWindow('ScoreCard.asp?TN=T01,18624,"1','','width=790,height=200')",TRUE,T01,2004,NA
